date,nav_total,cash_available,cash_settling,positions_value,holdings,fee_today,cum_fee,nav_zero_cost_fixed_trades
2024-12-31,1000000.0,1000000.0,0.0,0.0,0,0.0,0.0,1000000.0
2025-01-02,998503.2386500001,662.3386499999724,0.0,997840.9000000001,50,1496.7613499999998,1496.7613499999998,1000000.0000000001
2025-01-03,975856.2021999999,4.3531499999723735,101142.88905,874708.96,50,254.47645000000003,1751.2377999999997,977607.44
2025-01-06,971098.3592649997,20.389114999950834,75973.53014999999,895104.4399999998,50,341.872935,2093.1107349999997,973191.4699999997
2025-01-07,987516.3133399999,1029.6412649999456,81443.052075,905043.62,50,316.39592500000003,2409.5066600000005,989925.8199999998
2025-01-08,984597.072855,683.2028549999304,59494.89,924418.9800000001,50,271.61048500000004,2681.1171450000006,987278.1900000001
2025-01-09,980652.3174049999,696.6543299999284,98220.603075,881735.0599999999,50,335.25545,3016.3725950000003,983668.6899999998
2025-01-10,955850.29941,123.10813499994765,92403.90127499998,863323.29,50,379.55799499999995,3395.93059,959246.23
2025-01-13,957758.3982299996,243.67172999993272,91216.78649999999,866297.9399999997,50,366.83118,3762.76177,961521.1599999996
2025-01-14,991369.235615,146.33218999992096,98771.083425,892451.8200000001,50,384.31261500000005,4147.074384999999,995516.31
2025-01-15,988316.3053649999,543.8763149999213,97448.14905,890324.28,50,391.57025000000004,4538.644634999999,992854.95
2025-01-16,990281.8022799998,346.73680499993134,85060.625475,904874.44,50,359.433085,4898.077719999998,995179.8799999998
2025-01-17,986921.78562,327.2933199999243,78542.2323,908052.26,50,324.27666,5222.354379999999,992144.14
2025-01-20,995431.2138599999,148.18045999993046,84877.9134,910405.12,50,330.63176,5552.986139999998,1000984.2
2025-01-21,984515.9069449999,661.3262449999347,98145.7407,885708.84,50,372.33691500000003,5925.323054999998,990441.23
2025-01-22,974564.4182199999,378.99596999991627,82468.41225000001,891717.01,50,354.108725,6279.431779999998,980843.8499999999
2025-01-23,982862.1974949997,614.3433699999368,87754.414125,894493.4399999998,50,343.100725,6622.5325049999965,989484.7299999997
2025-01-24,991125.26063,893.5812549999391,89483.979375,900747.7000000001,50,355.28686500000003,6977.8193699999965,998103.0800000001
2025-01-27,998943.28927,1924.840269999946,88011.81899999999,909006.63,50,353.06136,7330.880729999996,1006274.1699999999
2025-02-05,1009608.995085,338.2229099999531,101480.792175,907789.98,50,388.534185,7719.414914999996,1017328.4099999999
2025-02-06,1022052.21288,388.67745499995726,90981.805425,930681.7300000001,50,379.942205,8099.357119999995,1030151.57
2025-02-07,1033388.84505,213.33194999994885,90843.0831,942332.43,50,364.20783000000006,8463.564949999993,1041852.41
2025-02-10,1052614.14727,222.8487699999605,86603.5485,965787.75,50,353.09778000000006,8816.662729999991,1061430.81
2025-02-11,1050042.0226399999,1160.9715899999574,96118.68105,952762.37,50,369.20463000000007,9185.867359999993,1059227.89
2025-02-12,1052738.1671099996,0.6326599999483733,97306.34445,955431.1899999997,50,389.57553,9575.442889999995,1062313.6099999996
2025-02-13,1052376.7971649999,10.170489999949496,92453.616675,959913.0099999999,50,377.439945,9952.882834999993,1062329.68
2025-02-14,1045314.8427599998,244.09480999993684,102244.56795,942826.1799999998,50,394.374405,10347.257239999994,1055662.0999999999
2025-02-17,1062020.0340049998,2149.5595299999295,98834.504475,961035.97,50,397.98875499999997,10745.245994999992,1072765.2799999998
2025-02-18,1052787.48064,831.9508399999322,95193.4998,956762.03,50,388.583365,11133.829359999992,1063921.31
2025-02-19,1059653.56889,648.0988899999429,105347.97,953657.5000000001,50,406.88175000000007,11540.71110999999,1071194.28
2025-02-20,1059638.3868100003,223.32740999994348,102874.4094,956540.6500000003,50,416.25208000000003,11956.96318999999,1071595.3500000003
2025-02-21,1052018.375945,991.1463199999525,102547.13962500001,948480.0900000001,50,409.9408649999999,12366.90405499999,1064385.28
2025-02-24,1056103.274565,364.53711499996643,95932.58744999999,959806.1500000001,50,394.96137999999996,12761.865434999989,1068865.1400000001
2025-02-25,1048799.6118349999,438.83248499996625,94291.93935,954068.8399999999,50,379.89273,13141.75816499999,1061941.3699999999
2025-02-26,1057558.1939250003,173.7587499999645,99293.075175,958091.3600000002,50,390.47791,13532.23607499999,1071090.4300000002
2025-02-27,1062940.173345,480.00606999997035,100413.42727500001,962046.74,50,399.92058,13932.156654999992,1076872.33
2025-02-28,1053138.088595,79.33869499998764,90098.2299,962960.52,50,376.80475000000007,14308.961404999991,1067447.05
2025-03-03,1052692.7353349999,708.2756599999848,97571.58967500001,954412.8699999999,50,378.54326000000003,14687.504664999993,1067380.2399999998
2025-03-04,1052695.5510350002,327.5569350000078,92741.9241,959626.0700000003,50,379.14430000000004,15066.648964999993,1067762.2000000002
2025-03-05,1055755.217355,358.0021050000105,98439.18524999998,956958.03,50,385.57368,15452.222644999993,1071207.4400000002
2025-03-06,1059980.473365,826.6917149999972,91346.40165000001,967807.38,50,375.67399,15827.896634999994,1075808.3699999999
2025-03-07,1055985.9987800003,1036.803680000001,92553.9951,962395.2000000002,50,368.464585,16196.361219999995,1072182.3600000003
2025-03-10,1056489.4488799996,724.1574550000041,113175.781425,942589.5099999997,50,422.7399,16619.101119999992,1073108.5499999996
2025-03-11,1059319.9790650003,152.01253999999972,97927.95652499999,961240.0100000002,50,415.79981499999997,17034.900934999994,1076354.8800000004
2025-03-12,1059185.8314750001,1262.800824999984,98109.85065000001,959813.1800000002,50,390.89759,17425.798524999995,1076611.6300000001
2025-03-13,1057034.576025,285.99409999998534,103120.781925,953627.8000000002,50,406.85545,17832.65397499999,1074867.23
2025-03-14,1069376.0469600002,493.17683499997656,103113.52012500001,965769.3500000001,50,412.5690650000001,18245.223039999993,1087621.2700000003
2025-03-17,1071979.8622350001,874.8299599999846,99002.962275,972102.0700000001,50,401.99472499999996,18647.217764999987,1090627.08
2025-03-18,1071242.139775,1187.33827499998,99717.4815,970337.32,50,397.73245999999995,19044.95022499999,1090287.09
2025-03-19,1071419.9244850003,324.11468500000046,98561.05980000002,972534.7500000002,50,397.66529,19442.615514999983,1090862.5400000003
2025-03-20,1069882.099945,1207.417295000021,92598.86265000001,976075.8199999998,50,378.3745400000001,19820.990054999987,1089703.0899999999
2025-03-21,1063394.61167,113.45119500002693,96857.060475,966424.1000000001,50,383.07827499999996,20204.068329999987,1083598.68
2025-03-24,1049002.972515,210.11846500003958,95953.89405,952838.9600000001,50,385.409155,20589.477484999985,1069592.45
2025-03-25,1052317.177505,452.97098000003825,96300.036525,955564.17,50,384.70501,20974.182494999986,1073291.36
2025-03-26,1060137.4724,367.3756000000358,103106.86679999999,956663.2300000001,50,402.77510499999994,21376.957599999987,1081514.4300000002
2025-03-27,1054407.8742900002,342.93714000001637,97073.84715,956991.0900000001,50,397.75811,21774.71570999998,1076182.59
2025-03-28,1044980.07373,532.0849049999997,96390.88882500002,948057.1,50,386.69056,22161.40626999998,1067141.48
2025-03-31,1035960.2491649998,146.26609000000826,92965.773075,942848.2099999998,50,377.944565,22539.35083499998,1058499.5999999999
2025-04-01,1046481.63796,64.90751000000455,102850.05045000001,943566.6799999999,50,397.13120499999997,22936.482039999973,1069418.1199999999
2025-04-02,1048284.10861,551.642960000012,96775.19565000001,950957.27,50,395.85935,23332.34138999998,1071616.45
2025-04-03,1050017.29856,9078.664610000009,96197.32395,944741.31,50,373.27005,23705.61143999998,1073722.91
2025-04-07,958466.1581750001,1508.6306500000173,87198.447525,869759.0800000001,50,373.9603850000001,24079.57182499998,982545.7300000001
2025-04-08,968994.5456749996,374.37757500001317,92409.1581,876211.0099999995,50,363.9024999999999,24443.474324999985,993438.0199999996
2025-04-09,988664.8595999999,159.55780000001687,92060.55179999999,896444.7499999999,50,369.45607499999994,24812.93039999999,1013477.7899999998
2025-04-10,1012008.67642,1872.6714199999842,89146.575,920989.43,50,358.74318,25171.673579999995,1037180.35
2025-04-11,1014755.5327699998,656.905919999972,92621.12684999999,921477.4999999999,50,367.47364999999996,25539.147230000002,1040294.6799999998
2025-04-14,1039885.6337500003,461.13594999995985,113496.42779999999,925928.0700000003,50,423.46902000000006,25962.61625,1065848.2500000002
2025-04-15,1044416.241365,500.09243999994214,90816.818925,953099.3300000001,50,397.542385,26360.158635,1070776.4
2025-04-16,1030419.9324449998,73.17074499995215,93237.6417,937109.1199999999,50,370.3389200000001,26730.497555,1057150.4299999997
2025-04-17,1036510.3226750001,1202.4768749999494,95801.5758,939506.2700000001,50,378.05977,27108.557325,1063618.8800000001
2025-04-18,1034075.3033649998,130.3197149999396,96524.62365,937420.3599999999,50,387.00931,27495.566635000003,1061570.8699999999
2025-04-21,1045440.3932649998,476.1412399999281,85137.81202499999,959826.44,50,357.43010000000004,27852.996735,1073293.39
2025-04-22,1045193.507365,234.17541499991785,97873.92195,947085.41,50,373.17589999999996,28226.172635000006,1073419.68
2025-04-23,1052329.4989349998,257.1708099999232,93430.58812500001,958641.7399999999,50,380.71843,28606.891065000003,1080936.39
2025-04-24,1045173.3409149998,815.8296899999332,91921.13122499999,952436.3799999999,50,369.47802,28976.369085000006,1074149.7099999997
2025-04-25,1045422.7394950001,39.19251999991684,94903.356975,950480.1900000002,50,376.69142,29353.060505000005,1074775.8
2025-04-28,1036258.6260350001,159.49785999991582,97955.228175,938143.9000000001,50,387.46346000000005,29740.523965000004,1065999.1500000001
2025-04-29,1043160.3568749998,104.44079999991663,78528.75607500001,964527.1599999999,50,343.60916,30084.133125,1073244.4899999998
2025-04-30,1048028.1409249998,403.02737499992145,111938.03355,935687.08,50,397.71594999999996,30481.849075000006,1078509.9899999998
2025-05-06,1065364.118865,506.5203649999057,87054.41850000001,977803.18,50,385.68206000000004,30867.531135000005,1096231.6500000001
2025-05-07,1076629.7070149998,2676.4528399999235,94325.924175,979627.33,50,363.54185,31231.072985000003,1107860.7799999998
2025-05-08,1092248.3559249998,99.38022499993531,85244.07570000002,1006904.8999999998,50,358.78109,31589.854075,1123838.2099999997
2025-05-09,1087351.17717,14.333944999947562,106962.633225,980374.2100000002,50,395.878755,31985.732829999997,1119336.9100000001
2025-05-12,1102488.5216549998,820.3607549999433,93401.55090000002,1008266.6099999999,50,393.0855150000001,32378.818345,1134867.3399999999
2025-05-13,1101828.39868,131.2370299999602,98005.71165000001,1003691.4500000001,50,386.552975,32765.37132,1134593.77
2025-05-14,1103602.367315,52.83286499997848,96372.68445,1007176.8499999999,50,388.44136499999996,33153.812685000004,1136756.18
2025-05-15,1109884.0636399998,96.23981499998263,90862.743825,1018925.08,50,372.003675,33525.816360000004,1143409.88
2025-05-16,1105469.1702400001,86.27873999999065,90177.3915,1015205.5000000001,50,362.11340000000007,33887.929760000006,1139357.1
2025-05-19,1123335.9250699999,26.136669999985315,103772.55840000001,1019537.23,50,395.23517000000004,34283.16493,1157619.0899999999
2025-05-20,1136909.94746,691.4258099999861,96589.26165,1039629.2599999999,50,396.50761,34679.672539999985,1171589.6199999999
2025-05-21,1143938.0559299998,108.6777549999897,108225.48817499999,1035603.8899999999,50,416.78153,35096.45406999997,1179034.5099999998
2025-05-22,1136205.30538,669.0100799999855,103837.6353,1031698.66,50,421.50055,35517.95461999995,1171723.26
2025-05-23,1121832.90076,4414.552109999964,79469.36864999999,1037948.9800000001,50,349.08462000000003,35867.03923999995,1157699.94
2025-05-26,1128581.317475,117.6695749999526,76768.43789999999,1051695.21,50,317.863285,36184.902524999954,1164766.22
2025-05-27,1137391.965735,688.3219849999332,93627.84375,1043075.8000000002,50,348.78174,36533.68426499995,1173925.6500000001
2025-05-28,1137450.3661149999,384.59941499993147,81864.1467,1055201.6199999999,50,345.85961999999995,36879.543884999955,1174329.91
2025-05-29,1147934.9792499999,484.62362499992014,81856.595625,1065593.76,50,327.616865,37207.16074999995,1185142.14
2025-05-30,1141541.436625,112.81137499992474,72667.77524999999,1068760.85,50,305.28262500000005,37512.443374999944,1179053.8800000001
2025-06-03,1147050.2543649997,60.630064999913884,87471.05429999999,1059518.5699999998,50,328.14226,37840.585634999945,1184890.8399999996
2025-06-04,1155735.1127899997,334.3342399999019,89528.19855,1065872.5799999998,50,354.981575,38195.56720999995,1193930.6799999997
2025-06-05,1152018.6132299998,1171.0548299999064,89568.1584,1061279.4,50,357.31956,38552.88676999995,1190571.4999999998
2025-06-06,1159648.4543499998,177.65434999990975,87049.83,1072420.97,50,353.80888,38906.69564999995,1198555.1499999997
2025-06-09,1164479.316105,7938.348779999906,90578.057325,1065962.9100000001,50,345.768245,39252.46389499996,1203731.78
2025-06-10,1161568.4884549999,583.1262049999059,84583.11225,1076402.25,50,358.66765000000004,39611.13154499996,1201179.6199999999
2025-06-11,1165026.2200149999,545.5375149999127,86410.43250000001,1078070.25,50,343.30844,39954.43998499996,1204980.66
2025-06-12,1163676.30855,187.5022499999286,87350.55630000001,1076138.25,50,348.881465,40303.32144999997,1203979.63
2025-06-13,1153519.7481799999,1324.2515299999432,82087.60665,1070107.89,50,334.86037,40638.18181999996,1194157.93
2025-06-16,1160869.8129849997,348.4697099999539,78481.993275,1082039.3499999999,50,321.10519500000004,40959.28701499997,1201829.0999999996
2025-06-17,1159844.074555,194.06505499996274,78551.32949999999,1081098.6800000002,50,314.64842999999996,41273.935444999974,1201118.01
2025-06-18,1154495.026035,396.66748499994355,87736.68855,1066361.6700000002,50,337.23851999999994,41611.17396499999,1196106.2000000002
2025-06-19,1137032.38503,1838.637829999945,70664.0172,1064529.73,50,306.351005,41917.524969999984,1178949.91
2025-06-20,1134692.148595,85.90259499995955,85088.346,1049517.9,50,321.716435,42239.241404999986,1176931.39
2025-06-23,1140968.4166150002,63.403539999970235,89877.513075,1051027.5000000002,50,352.73198,42591.97338499998,1183560.3900000001
2025-06-24,1155786.7799399998,309.671114999961,81400.458825,1074076.65,50,338.25667500000003,42930.23005999999,1198717.0099999998
