date,in_main_window,in_tail_window,holdings_target,holdings_actual,buy_filled,sell_filled,sell_blocked,forced_liquidations_today,terminal_liquidations_today,overdue_positions,max_blocked_sell_days,traded_value_buy,traded_value_sell,fee_today,cash_ratio,buy_skip_missing_row,buy_skip_invalid_row,buy_skip_limit_locked,buy_skip_ipo_too_new,buy_skip_lot_too_small,buy_skip_insufficient_cash,sell_block_missing_row,sell_block_invalid_row,sell_block_limit_locked
2024-12-31,0,0,50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-01-02,1,0,50,50,50,0,0,0,0,0,0,997840.9000000001,0.0,1496.7613499999998,0.000663331498949838,0,0,0,0,0,0,0,0,0
2025-01-03,1,0,50,50,5,5,0,0,0,0,0,657.0,101396.38,254.47645000000003,0.10364974057855096,15,0,5,14,2842,0,0,0,0
2025-01-06,1,0,50,50,5,5,0,0,0,0,0,100975.39,76163.94,341.872935,0.07825563552853478,0,0,0,0,0,0,0,0,0
2025-01-07,1,0,50,50,5,5,0,0,0,0,0,74852.0,81647.17,316.39592500000003,0.0835152718247853,0,0,0,0,0,0,0,0,0
2025-01-08,1,0,50,50,5,5,0,0,0,0,0,81666.99,59644.0,271.61048500000004,0.06111951224931405,0,0,0,0,0,0,0,0,0
2025-01-09,1,0,50,50,5,5,0,0,0,0,0,59392.350000000006,98466.77,335.25545,0.10086883562030892,0,0,0,0,0,0,0,0,0
2025-01-10,1,0,50,50,5,5,0,0,0,0,0,98646.18,92635.49,379.55799499999995,0.09680073277908932,0,0,0,0,0,0,0,0,0
2025-01-13,1,0,50,50,5,5,0,0,0,0,0,92145.12000000001,91445.4,366.83118,0.09549428999946631,0,0,0,0,0,0,0,0,0
2025-01-14,1,0,50,50,5,5,0,0,0,0,0,91177.36,99018.63,384.31261500000005,0.09977858103861383,0,0,0,0,0,0,0,0,0
2025-01-15,1,0,50,50,5,5,0,0,0,0,0,98226.2,97692.37999999999,391.57025000000004,0.09915046916969564,0,0,0,0,0,0,0,0,0
2025-01-16,1,0,50,50,5,5,0,0,0,0,0,97499.04000000001,85273.81,359.433085,0.08624551323003227,0,0,0,0,0,0,0,0,0
2025-01-17,1,0,50,50,5,5,0,0,0,0,0,84952.64,78739.08,324.27666,0.07991466676404639,0,0,0,0,0,0,0,0,0
2025-01-20,1,0,50,50,5,5,0,0,0,0,0,78603.44,85090.63999999998,330.63176,0.08541634286340376,0,0,0,0,0,0,0,0,0
2025-01-21,1,0,50,50,5,5,0,0,0,0,0,84238.41,98391.72,372.33691500000003,0.10036106704624305,0,0,0,0,0,0,0,0,0
2025-01-22,1,0,50,50,5,5,0,0,0,0,0,98280.65000000001,82675.1,354.108725,0.08500967885870199,0,0,0,0,0,0,0,0,0
2025-01-23,1,0,50,50,5,5,0,0,0,0,0,82109.9,87974.35,343.100725,0.08990961064554476,0,0,0,0,0,0,0,0,0
2025-01-24,1,0,50,50,5,5,0,0,0,0,0,87344.16,89708.25,355.28686500000003,0.09118681989050731,0,0,0,0,0,0,0,0,0
2025-01-27,1,0,50,50,5,5,0,0,0,0,0,88320.23999999999,88232.4,353.06136,0.09003179683575746,0,0,0,0,0,0,0,0,0
2025-02-05,1,0,50,50,5,5,0,0,0,0,0,89464.23999999999,101735.13,388.534185,0.10084994842624961,0,0,0,0,1,0,0,0,0
2025-02-06,1,0,50,50,5,5,0,0,0,0,0,101278.42,91209.83000000002,379.942205,0.08939903630024021,0,0,0,0,0,0,0,0,0
2025-02-07,1,0,50,50,5,5,0,0,0,0,0,91020.62,91070.76000000001,364.20783000000006,0.0881143777448016,0,0,0,0,0,0,0,0,0
2025-02-10,1,0,50,50,5,5,0,0,0,0,0,90697.52,86820.6,353.09778000000006,0.08248644338971498,0,0,0,0,0,0,0,0,0
2025-02-11,1,0,50,50,5,5,0,0,0,0,0,85537.12,96359.58000000002,369.20463000000007,0.09264358048777983,0,0,0,0,0,0,0,0,0
2025-02-12,1,0,50,50,5,5,0,0,0,0,0,97133.32,97550.22,389.57553,0.09243226867809803,0,0,0,0,0,0,0,0,0
2025-02-13,1,0,50,50,5,5,0,0,0,0,0,97151.08,92685.33,377.439945,0.0878618641289777,0,0,0,0,0,0,0,0,0
2025-02-14,1,0,50,50,5,5,0,0,0,0,0,92081.56999999999,102500.81999999999,394.374405,0.0980457356650497,0,0,0,0,0,0,0,0,0
2025-02-17,1,0,50,50,5,5,0,0,0,0,0,100188.81999999999,99082.20999999999,397.98875499999997,0.09508677875329469,0,0,0,0,0,0,0,0,0
2025-02-18,1,0,50,50,5,5,0,0,0,0,0,100002.10999999999,95432.08,388.583365,0.09121066920517056,0,0,0,0,0,0,0,0,0
2025-02-19,1,0,50,50,5,5,0,0,0,0,0,95234.5,105612.0,406.88175000000007,0.10002898305814428,0,0,0,0,0,0,0,0,0
2025-02-20,1,0,50,50,5,5,0,0,0,0,0,105614.32,103132.24,416.25208000000003,0.09729520758527031,0,0,0,0,0,0,0,0,0
2025-02-21,1,0,50,50,5,5,0,0,0,0,0,101953.66,102804.15000000001,409.9408649999999,0.09841870476073604,0,0,0,0,0,0,0,0,0
2025-02-24,1,0,50,50,5,5,0,0,0,0,0,103019.22,96173.01999999999,394.96137999999996,0.09118154150659548,0,0,0,0,0,0,0,0,0
2025-02-25,1,0,50,50,5,5,0,0,0,0,0,95714.72,94528.26000000001,379.89273,0.09032304242490821,0,0,0,0,0,0,0,0,0
2025-02-26,1,0,50,50,5,5,0,0,0,0,0,94415.39,99541.93,390.47791,0.09405329607048929,0,0,0,0,0,0,0,0,0
2025-02-27,1,0,50,50,5,5,0,0,0,0,0,98838.57,100665.09,399.92058,0.09491920229855952,0,0,0,0,0,0,0,0,0
2025-02-28,1,0,50,50,5,5,0,0,0,0,0,100663.1,90324.04000000001,376.80475000000007,0.08562748757411917,0,0,0,0,0,0,0,0,0
2025-03-03,1,0,50,50,5,5,0,0,0,0,0,89335.29,97816.13,378.54326000000003,0.09336044795989236,0,0,0,0,0,0,0,0,0
2025-03-04,1,0,50,50,5,5,0,0,0,0,0,97805.6,92974.36,379.14430000000004,0.08841063396106782,0,0,0,0,0,0,0,0,0
2025-03-05,1,0,50,50,5,5,0,0,0,0,0,92572.62,98685.9,385.57368,0.09357963449379687,0,0,0,0,0,0,0,0,0
2025-03-06,1,0,50,50,5,5,0,0,0,0,0,97823.76000000001,91575.34,375.67399,0.08695735032966082,0,0,0,0,0,0,0,0,0
2025-03-07,1,0,50,50,5,5,0,0,0,0,0,90999.79,92785.95999999999,368.464585,0.08862882546560953,0,0,0,0,0,0,0,0,0
2025-03-10,1,0,50,50,5,5,0,0,0,0,0,92727.54999999999,113459.43,422.7399,0.1078098214807039,0,0,0,0,0,0,0,0,0
2025-03-11,1,0,50,50,5,5,0,0,0,0,0,113577.56,98173.39000000001,415.79981499999997,0.09258767039546391,0,0,0,0,1,0,0,0,0
2025-03-12,1,0,50,50,5,5,0,0,0,0,0,96672.16,98355.73999999999,390.89759,0.09381984588730356,0,0,0,0,0,0,0,0,0
2025-03-13,1,0,50,50,5,5,0,0,0,0,0,98938.25,103379.23000000001,406.85545,0.09782724082107443,0,0,0,0,0,0,0,0,0
2025-03-14,1,0,50,50,5,5,0,0,0,0,0,102759.45999999999,103371.95000000001,412.5690650000001,0.09688518576279218,0,0,0,0,0,0,0,0,0
2025-03-17,1,0,50,50,5,5,0,0,0,0,0,102578.0,99251.09,401.99472499999996,0.09317133255354447,0,0,0,0,0,0,0,0,0
2025-03-18,1,0,50,50,5,5,0,0,0,0,0,98542.64,99967.4,397.73245999999995,0.09419422185556822,0,0,0,0,0,0,0,0,0
2025-03-19,1,0,50,50,5,5,0,0,0,0,0,100430.06,98808.07999999999,397.66529,0.09229357437284097,0,0,0,0,0,0,0,0,0
2025-03-20,1,0,50,50,5,5,0,0,0,0,0,97531.45999999999,92830.93999999999,378.3745400000001,0.08767908160144224,0,0,0,0,0,0,0,0,0
2025-03-21,1,0,50,50,5,5,0,0,0,0,0,93552.5,97099.81,383.07827499999996,0.09118958343950363,0,0,0,0,0,0,0,0,0
2025-03-24,1,0,50,50,5,5,0,0,0,0,0,96615.47,96194.38,385.409155,0.09167182079994055,0,0,0,0,1,0,0,0,0
2025-03-25,1,0,50,50,5,5,0,0,0,0,0,95567.69,96541.39,384.70501,0.091942818736835,0,0,0,0,0,0,0,0,0
2025-03-26,1,0,50,50,5,5,0,0,0,0,0,96241.27,103365.28,402.77510499999994,0.09760455138497189,0,0,0,0,0,0,0,0,0
2025-03-27,1,0,50,50,5,5,0,0,0,0,0,102976.84,97317.14,397.75811,0.09239003867985804,0,0,0,0,0,0,0,0,0
2025-03-28,1,0,50,50,5,5,0,0,0,0,0,96739.59000000001,96632.47,386.69056,0.09275102575309277,0,0,0,0,0,0,0,0,0
2025-03-31,1,0,50,50,5,5,0,0,0,0,0,96631.76,93198.77,377.944565,0.08987993433150526,0,0,0,0,0,0,0,0,0
2025-04-01,1,0,50,50,5,5,0,0,0,0,0,92907.77,103107.81999999999,397.13120499999997,0.09834377807203701,0,0,0,0,0,0,0,0,0
2025-04-02,1,0,50,50,5,5,0,0,0,0,0,102210.0,97017.74,395.85935,0.09284395118710052,0,0,0,0,0,0,0,0,0
2025-04-03,1,0,50,50,5,5,0,0,0,0,0,88116.0,96438.42000000001,373.27005,0.10026119446258279,0,0,0,0,0,0,0,0,0
2025-04-07,1,0,50,50,5,5,0,0,0,0,0,103611.94,87416.98999999999,373.9603850000001,0.09255108009645925,0,0,0,0,0,0,0,0,0
2025-04-08,1,0,50,50,5,5,0,0,0,0,0,88200.40000000001,92640.76,363.9024999999999,0.0957523817746231,0,0,0,0,0,0,0,0,0
2025-04-09,1,0,50,50,5,5,0,0,0,0,0,92485.25,92291.28,369.45607499999994,0.09327742227766746,0,0,0,0,0,0,0,0,0
2025-04-10,1,0,50,50,5,5,0,0,0,0,0,90212.12,89370.0,358.74318,0.08993919572111012,0,0,0,0,0,0,0,0,0
2025-04-11,1,0,50,50,5,5,0,0,0,0,0,90227.0,92853.26,367.47364999999996,0.0919216794170877,0,0,0,0,0,0,0,0,0
2025-04-14,1,0,50,50,5,5,0,0,0,0,0,92677.88,113780.88,423.46902000000006,0.10958663150201435,0,0,0,0,0,0,0,0,0
2025-04-15,1,0,50,50,5,5,0,0,0,0,0,113287.54000000001,91044.43,397.542385,0.08743344631030756,0,0,0,0,0,0,0,0,0
2025-04-16,1,0,50,50,5,5,0,0,0,0,0,91107.08,93471.32,370.3389200000001,0.09055610194145827,0,0,0,0,0,0,0,0,0
2025-04-17,1,0,50,50,5,5,0,0,0,0,0,91970.37999999999,96041.68,378.05977,0.09358715543194429,0,0,0,0,0,0,0,0,0
2025-04-18,1,0,50,50,5,5,0,0,0,0,0,96728.64000000001,96766.54,387.00931,0.09346992723883225,0,0,0,0,0,0,0,0,0
2025-04-21,1,0,50,50,5,5,0,0,0,0,0,96034.75,85351.19,357.43010000000004,0.0818927160424902,0,0,0,0,0,0,0,0,0
2025-04-22,1,0,50,50,5,5,0,0,0,0,0,85251.9,98119.22,373.17589999999996,0.09386596517647411,0,0,0,0,0,0,0,0,0
2025-04-23,1,0,50,50,5,5,0,0,0,0,0,97704.37,93664.75,380.71843,0.08902892015268578,1,0,0,0,0,0,0,0,0
2025-04-24,1,0,50,50,5,5,0,0,0,0,0,92732.83,92151.51,369.47802,0.08872878524993097,0,0,0,0,0,0,0,0,0
2025-04-25,1,0,50,50,5,5,0,0,0,0,0,92558.93,95141.20999999999,376.69142,0.09081737550578123,0,0,0,0,0,0,0,0,0
2025-04-28,1,0,50,50,5,5,0,0,0,0,0,94641.09,98200.73,387.46346000000005,0.09468169776343656,0,0,0,0,0,0,0,0,0
2025-04-29,1,0,50,50,4,4,1,0,0,1,1,97863.49,78725.57,343.60916,0.07537977872410888,1,0,0,0,0,0,1,0,0
2025-04-30,1,0,50,50,6,6,0,0,0,0,0,78113.0,112218.57999999999,397.71594999999996,0.1071927904777887,1,0,0,0,0,0,0,0,0
2025-05-06,1,0,50,50,5,5,0,0,0,0,0,111667.04000000001,87272.6,385.68206000000004,0.0821887440308053,0,0,0,0,0,0,0,0,0
2025-05-07,1,0,50,50,5,5,0,0,0,0,0,84757.35,94562.32999999999,363.54185,0.09009817988762636,0,0,0,0,0,0,0,0,0
2025-05-08,1,0,50,50,5,5,0,0,0,0,0,96757.85999999999,85457.72,358.78109,0.07813557737308248,0,0,0,0,0,0,0,0,0
2025-05-09,1,0,50,50,5,5,0,0,0,0,0,85201.32,107230.71,395.878755,0.09838308856980693,0,0,0,0,0,0,0,0,0
2025-05-12,1,0,50,50,5,5,0,0,0,0,0,105997.61,93635.64,393.0855150000001,0.08546294115929552,0,0,0,0,0,0,0,0,0
2025-05-13,1,0,50,50,5,5,0,0,0,0,0,93949.75,98251.34,386.552975,0.08906736184833218,0,0,0,0,0,0,0,0,0
2025-05-14,1,0,50,50,5,5,0,0,0,0,0,97937.20999999999,96614.22,388.44136499999996,0.08737342377182247,0,0,0,0,0,0,0,0,0
2025-05-15,1,0,50,50,5,5,0,0,0,0,0,96185.0,91090.47,372.003675,0.08195359012696238,0,0,0,0,0,0,0,0,0
2025-05-16,1,0,50,50,5,5,0,0,0,0,0,90736.6,90403.4,362.11340000000007,0.08165191094420438,0,0,0,0,0,0,0,0,0
2025-05-19,1,0,50,50,5,5,0,0,0,0,0,90102.38,104032.64,395.23517000000004,0.09240218598326395,0,0,0,0,0,0,0,0,0
2025-05-20,1,0,50,50,5,5,0,0,0,0,0,102952.84,96831.34,396.50761,0.0855658688512114,0,0,0,0,0,0,0,0,0
2025-05-21,1,0,50,50,5,5,0,0,0,0,0,97026.47,108496.73000000001,416.78153,0.0947028253570307,0,0,0,0,0,0,0,0,0
2025-05-22,1,0,50,50,5,5,0,0,0,0,0,107503.9,104097.87999999999,421.50055,0.09197866343798498,0,0,0,0,0,0,0,0,0
2025-05-23,1,0,50,50,4,4,1,0,0,1,1,99942.18000000001,79668.54,349.08462000000003,0.07477398880276351,0,0,0,0,0,0,1,0,0
2025-05-26,1,0,50,50,4,4,1,0,0,1,2,83640.79,76960.84,317.863285,0.06812633372933989,0,0,0,0,0,0,1,0,0
2025-05-27,1,0,50,50,4,4,1,0,0,1,3,76083.66,93862.5,348.78174,0.08292318618063332,0,0,0,0,1,0,1,0,0
2025-05-28,1,0,50,50,4,4,1,0,0,1,4,93790.88,82069.32,345.85961999999995,0.07230974516797889,0,0,0,0,0,0,1,0,0
2025-05-29,1,0,50,50,4,4,1,0,0,1,5,81641.66,82061.75,327.616865,0.07172986339679041,0,0,0,0,0,0,1,0,0
2025-05-30,1,0,50,50,4,4,1,0,0,1,6,82105.25,72849.9,305.28262500000005,0.06375641241738696,0,0,0,0,0,0,1,0,0
2025-06-03,1,0,50,50,4,4,1,0,0,1,7,72611.04000000001,87690.28,328.14226,0.07631024362873877,0,0,0,0,0,0,1,0,0
2025-06-04,1,0,50,50,4,4,1,0,0,1,8,87066.75,89752.58,354.981575,0.07775357155418379,0,0,0,0,0,0,1,0,0
2025-06-05,1,0,50,50,4,4,1,0,0,1,9,88558.64,89792.64,357.31956,0.0787654055133603,0,0,0,0,0,0,1,0,0
2025-06-06,1,0,50,50,4,4,1,0,0,1,10,90425.92000000001,87268.0,353.80888,0.07521890278281983,0,0,0,0,0,0,1,0,0
2025-06-09,1,0,50,50,4,4,1,0,0,1,11,79170.38,90805.07,345.768245,0.08460125031204657,0,0,0,0,0,0,1,0,0
2025-06-10,1,0,50,50,4,4,1,0,0,1,12,97786.6,84795.1,358.66765000000004,0.07332003175144616,0,0,0,0,0,0,1,0,0
2025-06-11,1,0,50,50,4,4,1,0,0,1,13,84493.95999999999,86627.0,343.30844,0.07463863775862517,0,0,0,0,1,0,1,0,0
2025-06-12,1,0,50,50,4,4,1,0,0,1,14,86638.51,87569.48,348.881465,0.07522543675317823,0,0,0,0,0,0,1,0,0
2025-06-13,1,0,50,50,4,4,1,0,0,1,15,86084.68,82293.34,334.86037,0.07231073270449465,0,0,0,0,0,0,1,0,0
2025-06-16,1,0,50,50,4,4,1,0,0,1,16,82938.98,78678.69,321.10519500000004,0.06790637684194703,0,0,0,0,0,0,1,0,0
2025-06-17,1,0,50,50,4,4,1,0,0,1,17,78518.62,78748.2,314.64842999999996,0.0678930869093006,0,0,0,0,0,0,1,0,0
2025-06-18,1,0,50,50,4,4,1,0,0,1,18,78231.38,87956.58,337.23851999999994,0.0763393120347043,0,0,0,0,0,0,1,0,0
2025-06-19,1,0,50,50,4,4,1,0,0,1,19,86165.47,70841.12000000001,306.351005,0.06376481091001379,0,0,0,0,0,0,1,0,0
2025-06-20,1,0,50,50,4,4,1,0,0,1,20,72308.29,85301.6,321.716435,0.07506375072786442,0,0,0,0,0,0,1,0,0
