date,in_main_window,in_tail_window,holdings_target,holdings_actual,buy_filled,sell_filled,sell_blocked,forced_liquidations_today,terminal_liquidations_today,overdue_positions,max_blocked_sell_days,traded_value_buy,traded_value_sell,fee_today,cash_ratio,buy_skip_missing_row,buy_skip_invalid_row,buy_skip_limit_locked,buy_skip_ipo_too_new,buy_skip_lot_too_small,buy_skip_insufficient_cash,sell_block_missing_row,sell_block_invalid_row,sell_block_limit_locked
2024-12-31,0,0,50,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0
2025-01-02,1,0,50,50,50,0,0,0,0,0,0,997840.9000000001,0.0,1496.7613499999998,0.000663331498949838,0,0,0,0,0,0,0,0,0
2025-01-03,1,0,50,50,5,5,0,0,0,0,0,643.0,101396.38,254.45545,0.10366410624330995,15,0,10,20,4060,0,0,0,0
2025-01-06,1,0,50,50,5,5,0,0,0,0,0,100975.39,76163.94,341.872935,0.07827047512594339,0,0,0,0,0,0,0,0,0
2025-01-07,1,0,50,50,5,5,0,0,0,0,0,74852.0,101246.2,365.3935000000001,0.10333114117215174,0,0,0,0,0,0,0,0,0
2025-01-08,1,0,50,50,5,5,0,0,0,0,0,101143.87,79555.8,350.605305,0.08135715301412198,0,0,0,0,0,0,0,0,0
2025-01-09,1,0,50,50,5,5,0,0,0,0,0,79443.9,98466.77,365.33277499999997,0.10068729764330958,0,0,0,0,0,0,0,0,0
2025-01-10,1,0,50,50,4,4,1,0,0,1,1,98210.6,77121.22,340.1189499999999,0.08107753741393968,0,0,0,0,0,0,1,0,0
2025-01-13,1,0,50,50,5,5,1,0,0,1,2,77208.9,91794.3,345.2991,0.09566556918271084,0,0,0,0,0,0,1,0,0
2025-01-14,1,0,50,50,5,5,1,0,0,1,3,91358.69,109166.32999999999,409.95386,0.10962644096850456,0,0,0,0,0,0,1,0,0
2025-01-15,1,0,50,50,5,5,1,0,0,1,4,107313.55,92655.90000000001,392.61007500000005,0.09480216174157548,0,0,0,0,0,0,1,0,0
2025-01-16,1,0,50,50,5,5,1,0,0,1,5,93261.93,76394.94,330.88024500000006,0.07723718570101104,0,0,0,0,0,0,1,0,0
2025-01-17,1,0,50,50,5,5,1,0,0,1,6,76514.28,76891.08,306.99912,0.07747804226505091,0,0,0,0,0,0,1,0,0
2025-01-20,1,0,50,50,5,5,1,0,0,1,7,76535.73,96717.07999999999,356.596295,0.09658921523012728,0,0,0,0,0,0,1,0,0
2025-01-21,1,0,50,50,5,5,1,0,0,1,8,95901.73999999999,107589.0,412.8251099999999,0.10906044322025242,0,0,0,0,0,0,1,0,0
2025-01-22,1,0,50,50,5,5,1,0,0,1,9,107396.31,89401.15,384.59734000000003,0.09133467334951022,0,0,0,0,0,0,1,0,0
2025-01-23,1,0,50,50,4,4,1,0,0,1,10,85588.6,68820.99,300.435375,0.07327440320264977,0,0,0,0,0,0,1,0,0
2025-01-24,1,0,50,50,5,5,1,0,0,1,11,71423.37,102103.81,362.3945799999999,0.10304218972347472,0,0,0,0,0,0,1,0,0
2025-01-27,1,0,50,50,5,5,1,0,0,1,12,100071.15000000001,89647.35,374.2251,0.09152644926885417,0,0,0,0,0,0,1,0,0
2025-02-05,1,0,50,50,5,5,1,0,0,1,13,91489.23,109430.92,410.81114499999995,0.10774519110856623,0,0,0,0,1,0,1,0,0
2025-02-06,1,0,50,50,4,4,1,0,0,1,14,108856.57,71747.69,342.6540800000001,0.06999550226597963,0,0,0,0,0,0,1,0,0
2025-02-07,1,0,50,50,5,5,1,0,0,1,15,71535.63,98624.76000000001,353.86534500000005,0.09490053756120279,0,0,0,0,0,0,1,0,0
2025-02-10,1,0,50,50,5,5,1,0,0,1,16,97757.44,99011.6,394.16516,0.09393940612151731,0,0,0,0,0,0,1,0,0
2025-02-11,1,0,50,50,5,5,1,0,0,1,17,98535.64,104615.44,409.34206,0.09953630229402165,0,0,0,0,0,0,1,0,0
2025-02-12,1,0,50,50,5,5,1,0,0,1,18,104754.31999999999,95748.09,396.50170499999996,0.09041508364848788,0,0,0,0,0,0,1,0,0
2025-02-13,1,0,50,50,5,5,1,0,0,1,19,95643.08,106963.45999999999,410.87327,0.10065884799711655,0,0,0,0,0,0,1,0,0
2025-02-14,1,0,50,50,5,5,1,0,0,1,20,106114.46,105117.86,421.96634000000006,0.09987446303509226,0,0,0,0,0,0,1,0,0
2025-02-17,1,0,50,50,5,5,1,0,0,1,21,104634.73999999999,103763.88,416.36181,0.09700771872559134,0,0,0,0,0,0,1,0,0
2025-02-18,1,0,50,50,5,5,1,0,0,1,22,103325.29000000001,100060.72,405.1397350000001,0.09451210023392606,0,0,0,0,0,0,1,0,0
2025-02-19,1,0,50,50,5,5,1,0,0,1,23,99772.36,110465.0,425.82104000000004,0.10342608414154966,0,0,0,0,0,0,1,0,0
2025-02-20,1,0,50,50,5,5,1,0,0,1,24,109667.0,98982.44,411.95660000000004,0.09295114759935892,0,0,0,0,0,0,1,0,0
2025-02-21,1,0,50,50,5,5,1,0,0,1,25,99386.02,102402.5,405.08528,0.09609009924279538,0,0,0,0,0,0,1,0,0
2025-02-24,1,0,50,50,5,5,1,0,0,1,26,101696.79999999999,97231.44,395.62379999999996,0.09112764454121045,0,0,0,0,0,0,1,0,0
2025-02-25,1,0,50,50,5,5,1,0,0,1,27,97030.73,98575.33,391.98441999999994,0.0929090847742988,0,0,0,0,0,0,1,0,0
2025-02-26,1,0,50,50,4,4,1,0,0,1,28,97882.81,81221.04,349.876815,0.07631056753509453,0,0,0,0,0,0,1,0,0
2025-02-27,1,0,50,50,5,5,1,0,0,1,29,80047.52,102041.0,375.17378,0.0961422522621973,0,0,0,0,0,0,1,0,0
2025-02-28,1,0,50,50,5,5,1,0,0,1,30,102741.1,111167.32999999999,432.0299749999999,0.10446792015907369,0,0,0,0,0,0,1,0,0
2025-03-03,1,0,50,50,5,5,1,0,0,1,31,109567.57,109468.54999999999,438.02273,0.10382189135588173,0,0,0,0,0,0,1,0,0
2025-03-04,1,0,50,50,5,5,1,0,0,1,32,110288.02,102943.13,422.789855,0.09642603171537235,0,0,0,0,0,0,1,0,0
2025-03-05,1,0,50,50,5,5,1,0,0,1,33,102492.32,99441.95,402.34335500000003,0.09290282167207345,0,0,0,0,0,0,1,0,0
2025-03-06,1,0,50,50,5,5,1,0,0,1,34,97823.76000000001,105358.48,410.13184,0.09927339382977492,0,0,0,0,0,0,1,0,0
2025-03-07,1,0,50,50,6,6,0,0,0,0,0,104667.75,90058.25,382.14725000000004,0.08558324583113548,0,0,0,0,0,0,0,0,0
2025-03-10,1,0,50,50,5,5,0,0,0,0,0,90798.01999999999,99882.87,385.904205,0.09373532800822013,0,0,0,0,0,0,0,0,0
2025-03-11,1,0,50,50,5,5,0,0,0,0,0,99881.70999999999,94851.47,386.95124,0.08841944937781897,0,0,0,0,1,0,0,0,0
2025-03-12,1,0,50,50,5,5,0,0,0,0,0,94038.44,107473.76999999999,409.74208500000003,0.1006758229231261,0,0,0,0,0,0,0,0,0
2025-03-13,1,0,50,50,5,5,0,0,0,0,0,107075.19,105126.28,423.428485,0.09872191395827243,0,0,0,0,0,0,0,0,0
2025-03-14,1,0,50,50,5,5,0,0,0,0,0,104274.45999999999,105230.24,419.48729000000003,0.09803923710672706,0,0,0,0,0,0,0,0,0
2025-03-17,1,0,50,50,5,5,0,0,0,0,0,104680.23,100158.11,407.41562,0.09323925087099195,0,0,0,0,0,0,0,0,0
2025-03-18,1,0,50,50,5,5,0,0,0,0,0,100556.58,112600.51999999999,432.3361699999999,0.10398194051417217,0,0,0,0,0,0,0,0,0
2025-03-19,1,0,50,50,5,5,0,0,0,0,0,112350.76999999999,92474.55,399.71253,0.0852109800802218,0,0,0,0,0,0,0,0,0
2025-03-20,1,0,50,50,5,5,0,0,0,0,0,91398.3,94498.11,373.342725,0.08778939999874294,0,0,0,0,0,0,0,0,0
2025-03-21,1,0,50,50,5,5,0,0,0,0,0,94243.33,101696.73999999999,395.606845,0.09490025512966888,0,0,0,0,0,0,0,0,0
2025-03-24,1,0,50,50,5,5,0,0,0,0,0,99585.01999999999,100429.9,400.45228000000003,0.09665352330857267,0,0,0,0,1,0,0,0,0
2025-03-25,1,0,50,50,5,5,0,0,0,0,0,102212.01,95654.24,392.45361499999996,0.0898275719122565,0,0,0,0,0,0,0,0,0
2025-03-26,1,0,50,50,5,5,0,0,0,0,0,94977.27,105680.66000000002,406.667555,0.09873319730098826,0,0,0,0,0,0,0,0,0
2025-03-27,1,0,50,50,5,5,0,0,0,0,0,105370.94999999998,99204.28,406.06712500000003,0.09317344088876213,0,0,0,0,0,0,0,0,0
2025-03-28,1,0,50,50,5,5,0,0,0,0,0,98544.75,94216.6,383.358625,0.08954088918784266,0,0,0,0,0,0,0,0,0
2025-03-31,1,0,50,50,5,5,0,0,0,0,0,94307.1,95191.62999999999,379.439725,0.09087093407500385,0,0,0,0,0,0,0,0,0
2025-04-01,1,0,50,50,5,5,0,0,0,0,0,94982.06999999999,100036.61,392.56462999999997,0.09435095748277642,0,0,0,0,0,0,0,0,0
2025-04-02,1,0,50,50,5,5,0,0,0,0,0,99380.0,99497.66,397.81415000000004,0.09395691552401714,0,0,0,0,0,0,0,0,0
2025-04-03,1,0,50,50,5,5,0,0,0,0,0,89473.58,93950.81000000001,369.08739499999996,0.09767231256879859,0,0,0,0,0,0,0,0,0
2025-04-07,1,0,50,50,5,5,0,0,0,0,0,102035.64,86241.94,368.65831000000003,0.09046919389486865,0,0,0,0,0,0,0,0,0
2025-04-08,1,0,50,50,5,5,0,0,0,0,0,84888.22,97773.62000000001,371.7663799999999,0.10229424760949486,0,0,0,0,0,0,0,0,0
2025-04-09,1,0,50,50,5,5,0,0,0,0,0,99802.6,91568.97,378.62632499999995,0.09158153864961523,0,0,0,0,0,0,0,0,0
2025-04-10,1,0,50,50,5,5,0,0,0,0,0,90649.56,89349.72,359.34864,0.08783993494044784,0,0,0,0,0,0,0,0,0
2025-04-11,1,0,50,50,5,5,0,0,0,0,0,89360.0,94398.7,370.03675000000004,0.09216235621215488,0,0,0,0,0,0,0,0,0
2025-04-14,1,0,50,50,5,5,0,0,0,0,0,92935.23999999999,110888.53,416.624185,0.10679269465982051,0,0,0,0,0,0,0,0,0
2025-04-15,1,0,50,50,5,5,0,0,0,0,0,111686.54000000001,96457.8,408.67431,0.09135243608050046,0,0,0,0,0,0,0,0,0
2025-04-16,1,0,50,50,5,5,0,0,0,0,0,96002.71,96870.18,386.179515,0.0929935490207397,0,0,0,0,0,0,0,0,0
2025-04-17,1,0,50,50,5,5,0,0,0,0,0,96117.01999999999,96521.68,385.47973000000013,0.0923691952429501,0,0,0,0,0,0,0,0,0
2025-04-18,1,0,50,50,5,5,0,0,0,0,0,95982.87000000001,99103.67,391.73348000000004,0.09513871836058106,0,0,0,0,0,0,0,0,0
2025-04-21,1,0,50,50,5,5,0,0,0,0,0,98928.01000000001,96851.98000000001,390.521965,0.09168196392512412,0,0,0,0,0,0,0,0,0
2025-04-22,1,0,50,50,4,4,1,0,0,1,1,90053.5,78048.8,330.20225,0.07990546871528728,0,0,0,0,0,0,0,0,1
2025-04-23,1,0,50,50,5,5,1,0,0,1,1,84456.9,107040.5,394.2866,0.10012622673021489,1,0,0,0,0,0,0,0,1
2025-04-24,1,0,50,50,5,5,0,0,0,0,0,106644.41999999998,99401.29999999999,408.46988,0.09369199764382766,0,0,0,0,0,0,0,0,0
2025-04-25,1,0,50,50,5,5,0,0,0,0,0,99039.22,98577.35,395.002205,0.09276117762551227,0,0,0,0,0,0,0,0,0
2025-04-28,1,0,50,50,5,5,0,0,0,0,0,97436.39,98915.48,393.443285,0.09466357002516927,0,0,0,0,0,0,0,0,0
2025-04-29,1,0,50,50,3,3,2,0,0,2,1,89147.20000000001,57751.15,278.098675,0.06406745789502452,1,0,0,0,0,0,1,0,1
2025-04-30,1,0,50,50,5,5,2,0,0,2,2,67191.01999999999,97314.37,344.072455,0.09184209062426829,1,0,0,0,0,0,1,0,1
2025-05-06,1,0,50,50,6,6,1,0,0,1,3,97093.18000000001,102009.24,400.66286999999994,0.09457046256944493,0,0,0,0,0,0,1,0,0
2025-05-07,1,0,50,50,5,5,1,0,0,1,4,98901.62,95524.83,387.164505,0.0901124119199267,0,0,0,0,0,0,1,0,0
2025-05-08,1,0,50,50,5,5,1,0,0,1,5,98106.51999999999,92493.53,378.393605,0.08342970980767982,0,0,0,0,0,0,1,0,0
2025-05-09,1,0,50,50,5,5,1,0,0,1,6,91878.94,110355.36000000002,413.70681,0.10013442014514384,0,0,0,0,0,0,1,0,0
2025-05-12,1,0,50,50,5,5,1,0,0,1,7,110155.7,92380.33000000002,396.18437500000005,0.082450787916747,0,0,0,0,0,0,1,0,0
2025-05-13,1,0,50,50,5,5,1,0,0,1,8,91770.47,92705.09,369.41843,0.08320531490095932,0,0,0,0,0,0,1,0,0
2025-05-14,1,0,50,50,5,5,1,0,0,1,9,92390.93,104760.92,400.488695,0.09373137783915007,0,0,0,0,0,0,1,0,0
2025-05-15,1,0,50,50,5,5,1,0,0,1,10,103273.0,100852.48999999999,407.04072499999995,0.09069208162082104,0,0,0,0,0,0,1,0,0
2025-05-16,1,0,50,50,5,5,1,0,0,1,11,101689.48,102038.08,407.6294200000001,0.09106986721070871,0,0,0,0,0,0,1,0,0
2025-05-19,1,0,50,50,5,5,1,0,0,1,12,101473.22,102013.14,407.24268,0.08971967409723706,0,0,0,0,0,0,1,0,0
2025-05-20,1,0,50,50,5,5,1,0,0,1,13,101329.92,99420.7,400.54663,0.08672687147449433,0,0,0,0,0,0,1,0,0
2025-05-21,1,0,50,50,5,5,1,0,0,1,14,98324.47,108212.4,418.017705,0.09430248573701495,0,0,0,0,0,0,1,0,0
2025-05-22,1,0,50,50,5,5,1,0,0,1,15,108818.9,105778.98999999999,427.67582500000003,0.091905054438108,0,0,0,0,0,0,1,0,0
2025-05-23,1,0,50,50,4,4,2,0,0,2,16,100959.88,82954.68,358.82652,0.07693261968465753,0,0,0,0,0,0,2,0,0
2025-05-26,1,0,50,50,4,4,2,0,0,2,17,87160.54000000001,78301.28,326.49401,0.06849358381921195,0,0,0,0,0,0,2,0,0
2025-05-27,1,0,50,50,4,4,2,0,0,2,18,77465.29,96904.64,358.459535,0.08452442312502684,0,0,0,0,1,0,2,0,0
2025-05-28,1,0,50,50,4,4,2,0,0,2,19,96334.23,82778.92,351.44864499999994,0.07238603798286422,0,0,0,0,0,0,2,0,0
2025-05-29,1,0,50,50,4,4,2,0,0,2,20,83066.72,82542.52,330.95638,0.07102470091270383,0,0,0,0,0,0,2,0,0
2025-05-30,1,0,50,50,4,4,2,0,0,2,21,80881.31999999999,79341.64,319.67608,0.06978548472058237,0,0,0,0,0,0,2,0,0
2025-06-03,1,0,50,50,4,4,2,0,0,2,22,79667.19,87439.84,338.100385,0.07588304421091717,0,0,0,0,0,0,2,0,0
2025-06-04,1,0,50,50,4,4,2,0,0,2,23,87066.75,90520.58,356.90157500000004,0.07792556781109317,0,0,0,0,0,0,2,0,0
2025-06-05,1,0,50,50,4,4,2,0,0,2,24,90136.24,93590.56,369.18076,0.08083366549660541,0,0,0,0,0,0,2,0,0
2025-06-06,1,0,50,50,4,4,2,0,0,2,25,93264.34,91768.65,369.318135,0.07873269426990122,0,0,0,0,0,0,2,0,0
2025-06-09,1,0,50,50,4,4,2,0,0,2,26,92150.97,93325.96,371.54135499999995,0.07908512213738794,0,0,0,0,1,0,2,0,0
2025-06-10,1,0,50,50,4,4,2,0,0,2,27,92986.76000000001,83692.23000000001,348.71071500000005,0.07104577571369217,0,0,0,0,0,0,2,0,0
2025-06-11,1,0,50,50,4,4,2,0,0,2,28,83350.19,85997.0,340.01778500000006,0.07278431718158604,0,0,0,0,1,0,2,0,0
2025-06-12,1,0,50,50,4,4,2,0,0,2,29,85521.51,85741.48,342.63596499999994,0.07277412514138487,0,0,0,0,0,0,2,0,0
2025-06-13,1,0,50,50,4,4,2,0,0,2,30,84343.14,84920.82,338.81676,0.07364492424691882,0,0,0,0,0,0,2,0,0
2025-06-16,1,0,50,50,4,4,2,0,0,2,31,84493.62,87536.42,345.58148000000006,0.0755192102581785,0,0,0,0,0,0,2,0,0
2025-06-17,1,0,50,50,4,4,2,0,0,2,32,88302.15,81840.82,337.055275,0.06978469702203415,0,0,0,0,0,0,2,0,0
2025-06-18,1,0,50,50,4,4,2,0,0,2,33,80810.72,95813.88,360.75078,0.08265616722446832,0,0,0,0,0,0,2,0,0
2025-06-19,1,0,50,50,4,4,2,0,0,2,34,94330.1,81801.81,345.999675,0.07270761768199469,0,0,0,0,0,0,2,0,0
2025-06-20,1,0,50,50,4,4,2,0,0,2,35,83027.36,85825.36,339.10444,0.07499693296553117,0,0,0,0,0,0,2,0,0
